epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.24466,2.86026,13.7127,2.17051,0.01035,0.09211,0.02676,0.0165,1.26273,4.12115,1.10474,0.00015,0.00015,0.00015
2,9.5932,0.99451,2.52709,0.94795,0.73727,0.5,0.50119,0.30725,1.3002,2.65138,0.8673,0.000310438,0.000310438,0.000310438
3,13.6956,0.94047,1.23284,0.9021,0.70352,0.91142,0.68438,0.45936,1.02985,13.1369,0.82658,0.00046873,0.00046873,0.00046873
4,18.2178,0.93343,0.88753,0.91415,0.94824,0.75,0.9125,0.6709,1.0713,0.73262,0.89471,0.000624877,0.000624877,0.000624877
5,22.3596,0.8792,0.76893,0.89684,0.87769,1,0.995,0.71641,1.10552,0.68278,0.91047,0.00077888,0.00077888,0.00077888
6,26.7389,0.88476,0.729,0.90427,0.84497,1,0.995,0.71077,1.10544,0.62996,0.85179,0.000930737,0.000930737,0.000930737
7,30.6543,0.90218,0.70294,0.90852,0.69551,0.92686,0.98628,0.72692,1.10223,1.28269,0.87748,0.00108045,0.00108045,0.00108045
8,34.8419,0.91846,0.68815,0.89735,0.64214,0.62581,0.7033,0.43588,1.82773,43.6516,1.50082,0.00119225,0.00119225,0.00119225
9,38.9374,0.96007,0.76488,0.91104,0.1346,0.14583,0.06641,0.03252,nan,nan,nan,0.001184,0.001184,0.001184
10,42.9563,0.95148,0.7243,0.89259,0.68624,0.74631,0.63231,0.39277,1.28226,1.58579,0.95787,0.00117575,0.00117575,0.00117575
11,46.8764,0.92201,0.62424,0.88266,0.96652,0.99921,0.995,0.68887,1.44275,1.05593,0.86479,0.0011675,0.0011675,0.0011675
12,50.8709,0.93113,0.59261,0.89278,0.84234,0.99408,0.995,0.61587,1.16877,0.99712,0.88047,0.00115925,0.00115925,0.00115925
13,54.7154,0.87459,0.6129,0.89035,0.63026,0.94033,0.99245,0.73387,0.97191,0.92582,0.86642,0.001151,0.001151,0.001151
14,58.8763,0.89579,0.58418,0.90022,0.95798,1,0.995,0.7083,1.25767,0.70648,0.88227,0.00114275,0.00114275,0.00114275
15,62.5991,0.86117,0.5319,0.88706,0.92029,1,0.995,0.71973,1.19625,0.6906,0.90275,0.0011345,0.0011345,0.0011345
16,66.3104,0.8625,0.55038,0.88903,0.95341,0.97656,0.995,0.68133,1.30266,0.7083,0.88454,0.00112625,0.00112625,0.00112625
17,69.8713,0.84735,0.54968,0.88153,0.95323,1,0.995,0.72519,1.10574,0.60139,0.84314,0.001118,0.001118,0.001118
18,73.5777,0.90057,0.58902,0.90206,0.83959,0.88208,0.94132,0.62909,1.1396,0.72636,0.87737,0.00110975,0.00110975,0.00110975
19,77.1647,0.89292,0.57675,0.88823,0.95186,0.98684,0.99283,0.63184,1.20695,0.77039,0.87558,0.0011015,0.0011015,0.0011015
20,80.787,0.85763,0.53943,0.87864,0.88977,0.94867,0.9825,0.68577,1.31062,1.07473,0.92684,0.00109325,0.00109325,0.00109325
21,84.3933,0.84883,0.54562,0.89341,0.88563,0.95692,0.9924,0.67598,1.03867,0.80126,0.9005,0.001085,0.001085,0.001085
22,88.0671,0.87936,0.55735,0.90262,0.87754,0.98714,0.995,0.71958,1.12543,0.73131,0.91531,0.00107675,0.00107675,0.00107675
23,91.7487,0.83731,0.53988,0.88783,0.7941,0.99631,0.97438,0.66563,1.0441,0.57643,0.91055,0.0010685,0.0010685,0.0010685
24,95.3777,0.7953,0.5151,0.87253,0.87176,1,0.995,0.75765,0.9877,0.46999,0.8674,0.00106025,0.00106025,0.00106025
25,99.2831,0.79366,0.49525,0.8814,0.96427,1,0.995,0.69898,1.10148,0.53497,0.87881,0.001052,0.001052,0.001052
26,103.302,0.82471,0.50041,0.8893,0.9809,1,0.995,0.76582,0.91193,0.5045,0.82995,0.00104375,0.00104375,0.00104375
27,107.369,0.8295,0.51281,0.88412,0.95098,1,0.995,0.73995,0.98161,0.49209,0.8649,0.0010355,0.0010355,0.0010355
28,111.33,0.77672,0.49681,0.86573,0.96654,0.99518,0.995,0.72867,0.96479,0.46589,0.85028,0.00102725,0.00102725,0.00102725
29,115.406,0.77268,0.48795,0.87115,0.9655,1,0.995,0.75183,0.86935,0.45597,0.85662,0.001019,0.001019,0.001019
30,119.568,0.82714,0.49509,0.88324,0.869,1,0.995,0.75985,0.8578,0.48111,0.85705,0.00101075,0.00101075,0.00101075
31,123.617,0.77871,0.4854,0.88058,0.97094,0.9303,0.995,0.72761,0.91822,0.45802,0.84825,0.0010025,0.0010025,0.0010025
32,127.704,0.79625,0.47456,0.88195,0.94487,0.98926,0.995,0.67391,1.14052,0.52998,0.88674,0.00099425,0.00099425,0.00099425
33,131.783,0.77548,0.47548,0.86873,0.95658,1,0.995,0.75044,0.90173,0.49147,0.8696,0.000986,0.000986,0.000986
34,135.98,0.79439,0.49768,0.8918,0.85314,1,0.995,0.68712,1.02923,0.54923,0.8813,0.00097775,0.00097775,0.00097775
35,139.997,0.83011,0.50103,0.89342,0.95425,1,0.995,0.66257,1.21162,0.56534,0.87661,0.0009695,0.0009695,0.0009695
36,144.2,0.76621,0.45278,0.87853,0.97712,1,0.995,0.74152,1.15367,0.50468,0.86496,0.00096125,0.00096125,0.00096125
37,148.545,0.75386,0.44802,0.85967,0.96141,1,0.995,0.69976,1.09156,0.52512,0.86771,0.000953,0.000953,0.000953
38,152.598,0.77341,0.4742,0.87523,0.96715,1,0.995,0.72026,0.95739,0.49449,0.86431,0.00094475,0.00094475,0.00094475
39,156.636,0.77137,0.47359,0.87131,0.96803,1,0.995,0.77501,0.91721,0.51228,0.87018,0.0009365,0.0009365,0.0009365
40,160.874,0.78862,0.4783,0.87058,0.95384,0.99243,0.995,0.77349,0.8339,0.45349,0.87145,0.00092825,0.00092825,0.00092825
41,164.742,0.77913,0.45757,0.87509,0.93494,0.98903,0.995,0.78963,0.75717,0.45487,0.85504,0.00092,0.00092,0.00092
42,168.82,0.77388,0.45326,0.86305,0.95337,1,0.995,0.75315,1.07397,0.49751,0.87292,0.00091175,0.00091175,0.00091175
43,172.817,0.80255,0.46982,0.88697,0.97447,1,0.995,0.69451,1.03518,0.53789,0.8798,0.0009035,0.0009035,0.0009035
44,176.695,0.7607,0.45721,0.86698,0.96844,1,0.995,0.73945,0.76035,0.40776,0.82905,0.00089525,0.00089525,0.00089525
45,180.671,0.79658,0.45829,0.88102,0.96296,0.99816,0.995,0.72529,0.95276,0.45568,0.88352,0.000887,0.000887,0.000887
46,184.577,0.73758,0.4467,0.87818,0.96523,1,0.995,0.77921,0.83834,0.41474,0.85957,0.00087875,0.00087875,0.00087875
47,188.757,0.77859,0.44437,0.88931,0.96557,1,0.995,0.73247,1.07333,0.46404,0.88449,0.0008705,0.0008705,0.0008705
48,192.766,0.7296,0.433,0.87759,0.94981,1,0.995,0.7477,0.95243,0.44395,0.87953,0.00086225,0.00086225,0.00086225
49,196.869,0.75401,0.44329,0.8866,0.97621,1,0.995,0.77906,0.85813,0.4064,0.85104,0.000854,0.000854,0.000854
50,201.065,0.72808,0.44766,0.88394,0.96242,1,0.995,0.78426,0.87478,0.48356,0.86242,0.00084575,0.00084575,0.00084575
51,205.085,0.78195,0.45581,0.88449,0.97581,1,0.995,0.72201,0.9793,0.45567,0.87843,0.0008375,0.0008375,0.0008375
52,209.119,0.70071,0.41938,0.862,0.86586,1,0.995,0.82577,0.8229,0.46523,0.85169,0.00082925,0.00082925,0.00082925
53,213.307,0.79042,0.48122,0.88396,0.94693,1,0.995,0.77233,0.86042,0.44755,0.86037,0.000821,0.000821,0.000821
54,217.44,0.74882,0.45675,0.87933,0.95078,1,0.995,0.74084,0.96405,0.49041,0.86452,0.00081275,0.00081275,0.00081275
55,221.47,0.71705,0.41547,0.85878,0.95468,1,0.995,0.70522,1.11034,0.47762,0.92684,0.0008045,0.0008045,0.0008045
56,225.557,0.75065,0.41377,0.86845,0.96423,1,0.995,0.81831,0.7918,0.41087,0.86073,0.00079625,0.00079625,0.00079625
57,229.543,0.77452,0.45779,0.88124,0.98272,0.99669,0.995,0.71014,1.04778,0.44297,0.88833,0.000788,0.000788,0.000788
58,233.558,0.71237,0.41119,0.87347,0.9805,1,0.995,0.73194,0.97246,0.41433,0.87918,0.00077975,0.00077975,0.00077975
59,237.622,0.71365,0.40754,0.85878,0.96464,1,0.995,0.73237,0.93878,0.41215,0.88352,0.0007715,0.0007715,0.0007715
60,241.82,0.73291,0.41885,0.87657,0.96149,1,0.995,0.78475,0.92164,0.38107,0.872,0.00076325,0.00076325,0.00076325
61,245.896,0.70391,0.40936,0.86618,0.9753,1,0.995,0.73157,0.99201,0.43798,0.90094,0.000755,0.000755,0.000755
