epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4694,0.70934,2.18228,1.1678,0.95076,0.76404,0.85489,0.73404,0.30113,51.0087,0.56646,0.000219408,0.000219408,0.000219408
2,43.2517,0.618,0.81443,1.0834,0.79569,0.88121,0.86267,0.75889,0.26119,5.89113,0.52683,0.000438826,0.000438826,0.000438826
3,63.2693,0.60321,0.70754,1.07054,0.81416,0.82878,0.83429,0.65524,0.34276,42.633,0.60807,0.000655309,0.000655309,0.000655309
4,81.2557,0.61681,0.67797,1.08052,0.78568,0.90267,0.89664,0.78927,0.24908,13.6966,0.52309,0.000653793,0.000653793,0.000653793
5,100.537,0.59754,0.65168,1.06716,0.79191,0.89522,0.8228,0.72561,0.23103,1.5961,0.48775,0.000649391,0.000649391,0.000649391
6,120.28,0.57035,0.59098,1.05139,0.87569,0.89602,0.88617,0.78777,0.25395,4.8578,0.50816,0.000644989,0.000644989,0.000644989
7,140.16,0.5587,0.55843,1.03952,0.92703,0.8618,0.89735,0.81539,0.22544,5.77011,0.49269,0.000640587,0.000640587,0.000640587
8,160.373,0.53598,0.54061,1.02831,0.8414,0.9,0.88848,0.80989,0.20426,2.55388,0.47533,0.000636185,0.000636185,0.000636185
9,179.585,0.54228,0.53614,1.03725,0.91001,0.89225,0.89761,0.79992,0.22677,0.86768,0.48629,0.000631782,0.000631782,0.000631782
10,197.446,0.52046,0.50945,1.01901,0.92744,0.89986,0.9433,0.86358,0.20777,2.17098,0.46513,0.00062738,0.00062738,0.00062738
11,215.478,0.50215,0.48357,1.00515,0.92178,0.88745,0.85575,0.80345,0.17604,2.21514,0.45523,0.000622978,0.000622978,0.000622978
12,233.495,0.51358,0.49572,1.01432,0.79539,0.96403,0.91987,0.86812,0.15991,12.7549,0.43854,0.000618576,0.000618576,0.000618576
13,251.581,0.49072,0.47073,1.003,0.93576,0.86604,0.91837,0.85723,0.19179,2.1723,0.46635,0.000614174,0.000614174,0.000614174
14,269.979,0.48287,0.45782,0.99799,0.85911,0.99119,0.9947,0.93663,0.17427,4.73536,0.45136,0.000609771,0.000609771,0.000609771
15,287.763,0.47933,0.45831,0.99938,0.89772,0.9545,0.93621,0.88564,0.16186,0.31156,0.44154,0.000605369,0.000605369,0.000605369
16,305.841,0.48069,0.44333,0.9977,0.90826,0.99088,0.99482,0.93619,0.17817,0.27539,0.44989,0.000600967,0.000600967,0.000600967
17,324.823,0.4661,0.43803,0.989,0.89823,0.99404,0.94431,0.86748,0.1964,0.63449,0.46898,0.000596565,0.000596565,0.000596565
18,343.971,0.47701,0.43441,0.99373,0.93585,0.87314,0.98366,0.91499,0.1703,1.75951,0.45159,0.000592163,0.000592163,0.000592163
19,363.705,0.46814,0.43349,0.99234,0.89751,0.95949,0.97541,0.91031,0.1639,0.5524,0.44653,0.00058776,0.00058776,0.00058776
20,382.61,0.46115,0.41946,0.98212,0.91398,0.93935,0.92338,0.8671,0.16723,0.9877,0.44972,0.000583358,0.000583358,0.000583358
21,402.184,0.46251,0.41659,0.98459,0.98234,0.8869,0.92826,0.8875,0.14971,0.23848,0.43713,0.000578956,0.000578956,0.000578956
22,421.52,0.44856,0.39353,0.97716,0.9279,0.9527,0.92852,0.88749,0.15544,0.51387,0.43526,0.000574554,0.000574554,0.000574554
23,440.588,0.45889,0.4082,0.98576,0.88613,0.95902,0.96509,0.92476,0.14992,0.22514,0.43622,0.000570152,0.000570152,0.000570152
24,460.287,0.44738,0.40271,0.98223,0.93511,0.88537,0.89791,0.86023,0.15652,1.24765,0.43674,0.000565749,0.000565749,0.000565749
25,479.387,0.43736,0.3952,0.97246,0.84362,0.9497,0.95087,0.90167,0.16877,0.38445,0.43999,0.000561347,0.000561347,0.000561347
26,498.125,0.44246,0.38191,0.97208,0.90178,0.99138,0.99455,0.94362,0.16692,0.23832,0.4477,0.000556945,0.000556945,0.000556945
27,517.456,0.44471,0.39548,0.97976,0.90693,0.96667,0.9742,0.9404,0.1458,2.4275,0.43,0.000552543,0.000552543,0.000552543
28,536.702,0.4425,0.39227,0.97221,0.91085,0.95671,0.97803,0.95103,0.13676,0.14348,0.43537,0.000548141,0.000548141,0.000548141
29,556.145,0.42785,0.36334,0.9629,0.86946,0.93333,0.91681,0.88547,0.13844,0.2296,0.42715,0.000543738,0.000543738,0.000543738
30,575.387,0.43223,0.38773,0.97317,0.86914,1,0.92837,0.903,0.13356,2.0863,0.42707,0.000539336,0.000539336,0.000539336
31,594.247,0.42848,0.38326,0.97104,0.97368,0.97387,0.99482,0.95668,0.13428,0.16527,0.43193,0.000534934,0.000534934,0.000534934
32,613.374,0.42627,0.37731,0.96298,0.91957,0.89384,0.86116,0.81863,0.15609,1.08951,0.4377,0.000530532,0.000530532,0.000530532
